gutenberg_id,line,section,word,first_appearance,gt_est
84,93,Letter 1,i,0,0.44752475247524753
84,94,Letter 1,have,0,0.44664031620553357
84,94,Letter 1,read,1,0.4457593688362919
84,94,Letter 1,with,0,0.4468503937007874
84,94,Letter 1,ardour,1,0.44597249508840864
84,94,Letter 1,the,0,0.4470588235294118
84,94,Letter 1,accounts,1,0.4461839530332681
84,94,Letter 1,of,0,0.447265625
84,94,Letter 1,the,0,0.44639376218323584
84,94,Letter 1,various,1,0.4455252918287938
84,94,Letter 1,voyages,1,0.44660194174757284
84,94,Letter 1,which,0,0.4476744186046512
84,94,Letter 1,have,0,0.44680851063829785
84,95,Letter 1,been,0,0.44594594594594594
84,95,Letter 1,made,1,0.44315992292870904
84,95,Letter 1,in,0,0.4442307692307692
84,95,Letter 1,the,0,0.44337811900191937
84,95,Letter 1,prospect,1,0.4425287356321839
84,95,Letter 1,of,0,0.4435946462715105
84,95,Letter 1,arriving,1,0.44274809160305345
84,95,Letter 1,at,0,0.4438095238095238
84,95,Letter 1,the,0,0.4429657794676806
84,95,Letter 1,north,0,0.44212523719165087
84,95,Letter 1,pacific,1,0.4393939393939394
84,95,Letter 1,ocean,1,0.44045368620037806
84,96,Letter 1,through,1,0.44150943396226416
84,96,Letter 1,the,0,0.4425612052730697
84,96,Letter 1,seas,1,0.4417293233082707
84,96,Letter 1,which,0,0.4427767354596623
84,96,Letter 1,surround,1,0.4419475655430712
84,96,Letter 1,the,0,0.44299065420560746
84,96,Letter 1,pole,0,0.44216417910447764
84,96,Letter 1,you,0,0.441340782122905
84,96,Letter 1,may,0,0.44052044609665425
84,96,Letter 1,remember,1,0.4397031539888683
84,96,Letter 1,that,0,0.44074074074074077
84,96,Letter 1,a,0,0.4399260628465804
84,97,Letter 1,history,1,0.43911439114391143
84,97,Letter 1,of,0,0.44014732965009207
84,97,Letter 1,all,0,0.43933823529411764
84,97,Letter 1,the,0,0.43853211009174314
84,97,Letter 1,voyages,0,0.43772893772893773
84,97,Letter 1,made,0,0.4351005484460695
84,97,Letter 1,for,0,0.4324817518248175
84,97,Letter 1,purposes,1,0.43169398907103823
84,97,Letter 1,of,0,0.43272727272727274
84,97,Letter 1,discovery,0,0.4319419237749546
84,97,Letter 1,composed,1,0.42934782608695654
84,97,Letter 1,the,0,0.43037974683544306
84,98,Letter 1,whole,1,0.4296028880866426
84,98,Letter 1,of,0,0.4306306306306306
84,98,Letter 1,our,1,0.42985611510791366
84,98,Letter 1,good,1,0.43087971274685816
84,98,Letter 1,uncle,1,0.43189964157706096
84,98,Letter 1,thomas,1,0.4329159212880143
84,98,Letter 1,library,1,0.43392857142857144
84,98,Letter 1,my,0,0.43493761140819964
84,98,Letter 1,education,1,0.43416370106761565
84,98,Letter 1,was,1,0.4351687388987567
84,98,Letter 1,neglected,1,0.43617021276595747
84,99,Letter 1,yet,1,0.43716814159292033
84,99,Letter 1,i,0,0.4381625441696113
84,99,Letter 1,was,0,0.43738977072310403
84,99,Letter 1,passionately,1,0.43485915492957744
84,99,Letter 1,fond,1,0.4358523725834798
84,99,Letter 1,of,0,0.4368421052631579
84,99,Letter 1,reading,1,0.436077057793345
84,99,Letter 1,these,0,0.4370629370629371
84,99,Letter 1,volumes,1,0.4363001745200698
84,99,Letter 1,were,1,0.4372822299651568
84,99,Letter 1,my,0,0.43826086956521737
84,99,Letter 1,study,1,0.4375
84,100,Letter 1,day,1,0.43847487001733104
84,100,Letter 1,and,0,0.43944636678200694
84,100,Letter 1,night,1,0.4386873920552677
84,100,Letter 1,and,0,0.4396551724137931
84,100,Letter 1,my,0,0.4388984509466437
84,100,Letter 1,familiarity,1,0.4381443298969072
84,100,Letter 1,with,0,0.4391080617495712
84,100,Letter 1,them,1,0.4383561643835616
84,100,Letter 1,increased,1,0.4393162393162393
84,100,Letter 1,that,0,0.4402730375426621
84,100,Letter 1,regret,1,0.4395229982964225
84,100,Letter 1,which,0,0.44047619047619047
84,101,Letter 1,i,0,0.4397283531409168
84,101,Letter 1,had,1,0.43898305084745765
84,101,Letter 1,felt,1,0.43993231810490696
84,101,Letter 1,as,0,0.4408783783783784
84,101,Letter 1,a,0,0.44013490725126475
84,101,Letter 1,child,0,0.4393939393939394
84,101,Letter 1,on,0,0.4369747899159664
84,101,Letter 1,learning,1,0.436241610738255
84,101,Letter 1,that,0,0.4371859296482412
84,101,Letter 1,my,0,0.43645484949832775
